id,source,target,relation,label_en,label_tr,confidence,sources,evidence_note
cor-gobekli-karahan,gobekli-tepe,karahantepe,corridor,Şanlıurfa plateau (Taş Tepeler),Şanlıurfa platosu (Taş Tepeler),high,TASTEPELER,Both sites belong to the same regional cluster of PPN sites investigated under the Taş Tepeler programme (~35 km apart).
cor-karahan-sayburc,karahantepe,sayburc,corridor,Şanlıurfa plateau (Taş Tepeler),Şanlıurfa platosu (Taş Tepeler),high,TASTEPELER; OZDOGAN-2022,Sayburç is investigated within the same Şanlıurfa Neolithic research region.
cor-arslantepe-karkamis,arslantepe,karkamis,corridor,Euphrates corridor,Fırat koridoru,high,UNESCO-1622; HITTITEMON-KARKAMIS,"Both sites sit on the Euphrates axis: Arslantepe in the upper valley, Karkamış at the great middle crossing. Geographic corridor only."
cor-hattusa-karkamis,hattusa,karkamis,corridor,Hittite imperial road to the Euphrates frontier,Hitit imparatorluk yolu — Fırat sınırına,high,HITTITEMON-KARKAMIS; UNESCO-377,In the Late Bronze Age Karkamış was the seat of Hittite viceroys governing the Syrian territories from the Euphrates crossing.
cor-kultepe-hattusa,kultepe,hattusa,corridor,Old Assyrian kārum network,Eski Asur kārum ağı,high,UNESCO-MOW-KULTEPE; UNESCO-T5905,The kārum trade network centred at Kaneš included a station at Hattuš; the route is documented in the Kültepe tablets.
cor-samal-karatepe,samal,karatepe,corridor,Amanus passes / Cilician frontier,Amanos geçitleri / Kilikya sınır hattı,medium,ZINCIRLI-EXP; MUZE-KARATEPE,"Sam'al controls the eastern foot of the Amanus, Karatepe the Ceyhan valley to its west; the corridor is the mountain-pass axis between them."
cor-karkamis-samal,karkamis,samal,corridor,North Syrian route,Kuzey Suriye yolu,medium,HITTITEMON-KARKAMIS; ZINCIRLI-EXP,East-west route linking the Euphrates crossing to the Amanus foothills across the Iron Age city-state landscape.
cmp-gobekli-sayburc,gobekli-tepe,sayburc,compares_with,Shared image repertoire,Ortak imge dağarcığı,high,OZDOGAN-2022,"The Sayburç publication explicitly compares the relief's leopards, bull and human figures with the Göbekli Tepe / Urfa-region repertoire."
cmp-gobekli-catalhoyuk,gobekli-tepe,catalhoyuk,compares_with,Monumental vs. household symbolism,Anıtsal ve hane sembolizmi karşılaştırması,medium,UNESCO-1572; UNESCO-1405,A standard comparative pair in Neolithic scholarship (wild-animal imagery in communal monuments vs. domestic contexts). Comparison only; the sites are separated by centuries and 500 km.
cmp-samal-karatepe,samal,karatepe,compares_with,Border kingdoms with gate sculpture and display inscriptions,Kapı heykelleri ve anıt yazıtlı sınır krallıkları,high,ZINCIRLI-EXP; MUZE-KARATEPE; WSRP-KILAMUWA,Both are small Iron Age polities using sculpted gateways and Phoenician-language royal inscriptions (Kilamuwa; Azatiwada) for self-presentation.
