id,type,label_en,label_tr,date_start,date_end,lat,lng,modern_location,ancient_region,evidence_type,confidence,sources,notes
gobekli-tepe,site,Göbekli Tepe,Göbekli Tepe,-9600,-8200,37.2233,38.9224,"Şanlıurfa, Türkiye",Upper Mesopotamia (Urfa plateau),pillar,high,UNESCO-1572,"Micro module exists (Göbekli Tepe Network, port 5186)."
karahantepe,site,Karahantepe,Karahantepe,-9500,-8000,37.0935,39.3033,"Şanlıurfa, Türkiye",Upper Mesopotamia (Tektek mountains),pillar,high,TASTEPELER,Dates approximate (excavation ongoing); coordinates approximate to the Tektek plateau location.
sayburc,site,Sayburç,Sayburç,-8800,-8000,37.1,38.55,"Şanlıurfa, Türkiye",Upper Mesopotamia (Urfa plateau),relief,high,OZDOGAN-2022; TASTEPELER,9th millennium BCE; date span and coordinates approximate (site lies under the modern village).
catalhoyuk,site,Çatalhöyük,Çatalhöyük,-7400,-5200,37.6664,32.8286,"Konya, Türkiye",Konya plain (Central Anatolia),wall_painting,high,UNESCO-1405,
arslantepe,site,Arslantepe,Arslantepe,-4300,-3100,38.3814,38.361,"Malatya, Türkiye",Upper Euphrates valley,seal,high,UNESCO-1622,Macro window shown: Late Chalcolithic development through the period VI A palace (c. 3400-3100 BCE). The mound also has later Bronze/Iron Age phases (Neo-Hittite Melid) outside this v1 scope.
kultepe,site,Kültepe-Kaneš,Kültepe-Kaneš,-1950,-1750,38.85,35.635,"Kayseri, Türkiye",Central Anatolia (kārum network hub),tablet,high,UNESCO-T5905; UNESCO-MOW-KULTEPE,"Micro module exists (Pūšu-kēn family network, port 5191). Coordinates approximate (c. 20 km NE of Kayseri)."
hattusa,site,Hattuşa / Yazılıkaya,Hattuşa / Yazılıkaya,-1650,-1180,40.0189,34.6156,"Boğazkale, Çorum, Türkiye",Hittite core territory (Halys bend),architecture,high,UNESCO-377,
karkamis,site,Karkamış,Karkamış,-1200,-700,36.8317,38.0156,"Gaziantep, Türkiye (border with Syria)",Middle Euphrates crossing,inscription,high,HITTITEMON-KARKAMIS,Macro window shows the Iron Age city-state; the Late Bronze Age viceregal phase is recorded in the corridor edge to Hattuşa.
samal,site,Sam'al / Zincirli,Sam'al / Zincirli,-920,-713,37.1042,36.6775,"Zincirli Höyük, Gaziantep, Türkiye",Eastern foot of the Amanus range,stele,high,ZINCIRLI-EXP; WSRP-KILAMUWA,"Micro module exists (Sam'al Epigraphic Network, port 5185)."
karatepe,site,Karatepe-Aslantaş,Karatepe-Aslantaş,-800,-650,37.2975,36.2436,"Osmaniye, Türkiye",Eastern Cilicia (Ceyhan valley),inscription,high,MUZE-KARATEPE,8th-7th century BCE; the Azatiwada inscription dates around 700 BCE.
concept-ritual,concept,Ritual,Ritüel,,,,,,,,high,AC-BRIEF; UNESCO-1572,"Analytic category defined by the project (comparative lens), not an archaeological claim about the sites themselves."
concept-body,concept,Body,Beden,,,,,,,,high,AC-BRIEF; UNESCO-1405,"Analytic category defined by the project (comparative lens), not an archaeological claim about the sites themselves."
concept-animal-symbolism,concept,Animal symbolism,Hayvan sembolizmi,,,,,,,,high,AC-BRIEF; UNESCO-1572,"Analytic category defined by the project (comparative lens), not an archaeological claim about the sites themselves."
concept-writing,concept,Writing,Yazı,,,,,,,,high,AC-BRIEF; UNESCO-MOW-KULTEPE,"Analytic category defined by the project (comparative lens), not an archaeological claim about the sites themselves."
concept-power,concept,Power,İktidar,,,,,,,,high,AC-BRIEF; UNESCO-1622,"Analytic category defined by the project (comparative lens), not an archaeological claim about the sites themselves."
concept-trade,concept,Trade,Ticaret,,,,,,,,high,AC-BRIEF; UNESCO-MOW-KULTEPE,"Analytic category defined by the project (comparative lens), not an archaeological claim about the sites themselves."
concept-memory,concept,Memory,Bellek,,,,,,,,high,AC-BRIEF; ISAC-KUTTAMUWA,"Analytic category defined by the project (comparative lens), not an archaeological claim about the sites themselves."
concept-multilingualism,concept,Multilingualism,Çokdillilik,,,,,,,,high,AC-BRIEF; WSRP-KILAMUWA,"Analytic category defined by the project (comparative lens), not an archaeological claim about the sites themselves."
concept-border-kingdoms,concept,Border kingdoms,Sınır krallıkları,,,,,,,,high,AC-BRIEF; ZINCIRLI-EXP,"Analytic category defined by the project (comparative lens), not an archaeological claim about the sites themselves."
interp-t-pillars-anthropomorphic,interpretation,T-pillars as anthropomorphic beings,T-dikilitaşlar insan biçimli varlıklar olarak,,,,,,,,medium,SCHMIDT-2010,"Widely followed but still an interpretation; what the pillars ""are"" is not stated by any ancient source."
interp-kuttamuwa-soul,interpretation,Kuttamuwa stele implies a soul dwelling in the stone,Kuttamuwa steli taşta yaşayan bir ruh inancını imler,,,,,,,,high,ISAC-KUTTAMUWA,The phrase is in the text itself; the wider theological reading remains discussed in the literature.
interp-sayburc-narrative,interpretation,Sayburç relief as one of the earliest narrative scenes,Sayburç kabartması en erken anlatı sahnelerinden biri olarak,,,,,,,,medium,OZDOGAN-2022,"Author's interpretive claim in the Antiquity article; ""narrative"" status is a reading."
